Variable,Coef,Std_Error,z_Statistic,Prob
C,9.604519673153696e-06,2.05532569331396e-06,4.672991586879639,2.968439307786058e-06
GARCH(-1),0.579772695538348,0.08895834157130404,6.517350540686896,7.156006309919273e-11
RK(-1),0.4349634976646325,0.1041558785239401,4.17608207840767,2.965728461888246e-05
HILO2(-1),-0.06212438568816265,0.02082101782200539,-2.98373433130173,0.002847538974988594
RCTO(-1),-0.001841238104142736,1.489571001233551e-05,-123.6086163477915,0
